Sample collection date,Tester,Site type,Name of Sampling Location,SARS-CoV-2 Detected,7 day average of SARS-CoV-2 concentration,Number of samples in the last 7 days,Units (measuring concentration),City of sampling location,State of sampling location,County of sampling location,Date data last updated
6/27/22,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,905834.212,4,copies/L,North Andover,MA,Essex,1/5/23
4/8/21,BioBot,Municipal,MWRA Northern,Detected,274870.0909,7,copies/L,Winthrop,MA,Suffolk,1/5/23
6/8/22,BioBot,Municipal,MWRA Northern,Detected,598316.5516,7,copies/L,Winthrop,MA,Suffolk,1/5/23
1/10/22,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,9126548.45,3,copies/L,North Andover,MA,Essex,1/5/23
7/27/21,BioBot,Municipal,MWRA Northern,Detected,192404.4649,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/17/20,BioBot,Municipal,MWRA Northern,Detected,347504.1467,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/21/22,BioBot,Municipal,Amherst WWTP,Detected,840416.5198,4,copies/L,Hadley,MA,Hampshire,1/5/23
8/26/21,BioBot,Municipal,Provincetown Treatment Plant,Detected,258858.5624,7,copies/L,Provincetown,MA,Barnstable,1/5/23
10/19/21,BioBot,Municipal,MWRA Southern,Detected,262846.1679,7,copies/L,Winthrop,MA,Suffolk,1/5/23
8/31/22,BioBot,Municipal,New Bedford WWTF,Detected,441700.0601,2,copies/L,New Bedford,MA,Bristol,1/5/23
12/10/20,BioBot,Municipal,MWRA Southern,Detected,965481.6926,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/14/21,BioBot,Municipal,MWRA Northern,Detected,299099.9416,7,copies/L,Winthrop,MA,Suffolk,1/5/23
9/4/21,BioBot,Municipal,MWRA Southern,Detected,414809.8436,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/11/21,BioBot,Municipal,MWRA Northern,Detected,49229.18576,7,copies/L,Winthrop,MA,Suffolk,1/5/23
8/29/22,BioBot,Municipal,Brockton/ Abington,Detected,1259667.016,4,copies/L,Brockton,MA,Plymouth,1/5/23
7/6/22,BioBot,Municipal,Upper Blackstone Clean Water,Detected,1091308.148,3,copies/L,Worcester,MA,Worcester,1/5/23
11/26/21,BioBot,Municipal,MWRA Southern,Detected,607056.114,7,copies/L,Winthrop,MA,Suffolk,1/5/23
4/6/22,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,406831.6201,4,copies/L,North Andover,MA,Essex,1/5/23
1/28/22,BioBot,Municipal,MWRA Southern,Detected,1478416.51,7,copies/L,Winthrop,MA,Suffolk,1/5/23
12/27/21,BioBot,Municipal,MWRA Southern,Detected,6550842.975,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/31/22,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,883104.8869,4,copies/L,North Andover,MA,Essex,1/5/23
9/13/22,BioBot,Municipal,Wareham WPCF,Detected,1061036.738,4,copies/L,Wareham,MA,Plymouth,1/5/23
7/1/22,BioBot,Municipal,Amherst WWTP,Detected,380493.9378,4,copies/L,Hadley,MA,Hampshire,1/5/23
11/18/21,BioBot,Municipal,MWRA Northern,Detected,666987.6492,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/4/20,BioBot,Municipal,MWRA Northern,Detected,188221.5408,7,copies/L,Winthrop,MA,Suffolk,1/5/23
9/18/22,BioBot,Municipal,MWRA Northern,Detected,546645.0881,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/22/21,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,2944073.666,3,copies/L,North Andover,MA,Essex,1/5/23
10/31/20,BioBot,Municipal,MWRA Southern,Detected,138786.6507,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/27/21,BioBot,Municipal,MWRA Southern,Detected,196360.8949,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/8/22,BioBot,Municipal,MWRA Southern,Detected,544617.1237,4,copies/L,Winthrop,MA,Suffolk,1/5/23
7/8/21,BioBot,Municipal,MWRA Northern,Detected,41230.67646,7,copies/L,Winthrop,MA,Suffolk,1/5/23
3/20/21,BioBot,Municipal,MWRA Southern,Detected,361838.9055,7,copies/L,Winthrop,MA,Suffolk,1/5/23
4/12/22,BioBot,Municipal,Plymouth Headworks Influent,Detected,394540.483,4,copies/L,Plymouth,MA,Plymouth,1/5/23
6/13/22,BioBot,Municipal,MWRA Northern,Detected,560820.3821,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/9/21,BioBot,Municipal,MWRA Northern,Detected,400428.1444,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/20/22,BioBot,Municipal,Upper Blackstone Clean Water,Detected,1040965.913,4,copies/L,Worcester,MA,Worcester,1/5/23
6/18/22,BioBot,Municipal,MWRA Northern,Detected,729103.6749,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/16/21,BioBot,Municipal,MWRA Southern,Detected,59263.08465,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/19/22,BioBot,Municipal,MWRA Southern,Detected,688585.3338,7,copies/L,Winthrop,MA,Suffolk,1/5/23
5/17/22,BioBot,Municipal,Wareham WPCF,Detected,1393869.639,4,copies/L,Wareham,MA,Plymouth,1/5/23
9/21/22,BioBot,Municipal,MWRA Northern,Detected,509544.5683,7,copies/L,Winthrop,MA,Suffolk,1/5/23
3/29/22,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,214178.1811,3,copies/L,North Andover,MA,Essex,1/5/23
5/31/22,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,1445217.997,4,copies/L,North Andover,MA,Essex,1/5/23
9/11/22,BioBot,Municipal,MWRA Northern,Detected,639610.1572,7,copies/L,Winthrop,MA,Suffolk,1/5/23
12/28/20,BioBot,Municipal,MWRA Northern,Detected,990571.5608,7,copies/L,Winthrop,MA,Suffolk,1/5/23
6/22/22,BioBot,Municipal,Uxbridge WWTF,Detected,718946.5639,3,copies/L,Uxbridge,MA,Worcester,1/5/23
4/11/22,BioBot,Municipal,MWRA Southern,Detected,496862.1525,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/23/22,BioBot,Municipal,MWRA Southern,Detected,663105.6778,7,copies/L,Winthrop,MA,Suffolk,1/5/23
9/10/20,BioBot,Municipal,MWRA Southern,Detected,60696.10467,4,copies/L,Winthrop,MA,Suffolk,1/5/23
9/2/22,BioBot,Municipal,MWRA Northern,Detected,525450.7215,7,copies/L,Winthrop,MA,Suffolk,1/5/23
6/29/22,BioBot,Municipal,Amherst WWTP,Detected,468405.1403,4,copies/L,Hadley,MA,Hampshire,1/5/23
11/30/22,BioBot,Municipal,MWRA Southern,Detected,1057105.968,7,copies/L,Winthrop,MA,Suffolk,1/5/23
6/19/21,BioBot,Municipal,MWRA Southern,Detected,11423.70971,7,copies/L,Winthrop,MA,Suffolk,1/5/23
8/24/22,BioBot,Municipal,Upper Blackstone Clean Water,Detected,1055728.094,4,copies/L,Worcester,MA,Worcester,1/5/23
11/22/20,BioBot,Municipal,MWRA Northern,Detected,399616.1743,7,copies/L,Winthrop,MA,Suffolk,1/5/23
12/21/22,BioBot,Municipal,MWRA Southern,Detected,1462371.076,7,copies/L,Winthrop,MA,Suffolk,1/5/23
6/7/22,BioBot,Municipal,Fitchburg Public Works,Detected,1427747.399,4,copies/L,Fitchburg,MA,Worcester,1/5/23
3/8/22,BioBot,Municipal,MWRA Southern,Detected,133605.6505,7,copies/L,Winthrop,MA,Suffolk,1/5/23
9/20/20,BioBot,Municipal,MWRA Northern,Detected,51503.59876,7,copies/L,Winthrop,MA,Suffolk,1/5/23
9/12/22,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,1279860.349,4,copies/L,North Andover,MA,Essex,1/5/23
2/26/22,BioBot,Municipal,MWRA Northern,Detected,120338.7038,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/19/22,BioBot,Municipal,Haverhill WWTP,Detected,1814634.709,5,copies/L,Haverhill,MA,Essex,1/5/23
2/23/22,BioBot,Municipal,Pittsfield WWTP,Detected,283131.8331,3,copies/L,Pittsfield,MA,Berkshire,1/5/23
6/15/22,BioBot,Municipal,Hull WWTF,Detected,1018186.405,3,copies/L,Hull,MA,Plymouth,1/5/23
6/20/22,BioBot,Municipal,MWRA Northern,Detected,768399.6192,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/29/22,BioBot,Municipal,Wareham WPCF,Detected,1941424.95,3,copies/L,Wareham,MA,Plymouth,1/5/23
10/10/21,BioBot,Municipal,Provincetown Treatment Plant,Detected,269559.6238,7,copies/L,Provincetown,MA,Barnstable,1/5/23
12/23/21,BioBot,Municipal,MWRA Southern,Detected,2694351.218,7,copies/L,Winthrop,MA,Suffolk,1/5/23
12/16/22,BioBot,Municipal,MWRA Northern,Detected,1068164.136,7,copies/L,Winthrop,MA,Suffolk,1/5/23
4/28/22,BioBot,Municipal,SESD-Peabody/Salem Pump,Detected,759858.6066,4,copies/L,Salem,MA,Essex,1/5/23
8/13/21,BioBot,Municipal,Provincetown Treatment Plant,Detected,590204.9701,7,copies/L,Provincetown,MA,Barnstable,1/5/23
7/31/21,BioBot,Municipal,MWRA Southern,Detected,269150.1891,7,copies/L,Winthrop,MA,Suffolk,1/5/23
12/5/22,BioBot,Municipal,MWRA Southern,Detected,1043231.743,7,copies/L,Winthrop,MA,Suffolk,1/5/23
9/19/22,BioBot,Municipal,Haverhill WWTP,Detected,1559816.192,4,copies/L,Haverhill,MA,Essex,1/5/23
11/11/22,BioBot,Municipal,Amherst WWTP,Detected,312771.5438,4,copies/L,Hadley,MA,Hampshire,1/5/23
1/27/22,BioBot,Municipal,SESD-Peabody/Salem Pump,Detected,637380.661,3,copies/L,Salem,MA,Essex,1/5/23
8/6/21,BioBot,Municipal,MWRA Southern,Detected,371829.2047,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/11/22,BioBot,Municipal,MWRA Southern,Detected,541634.7851,7,copies/L,Winthrop,MA,Suffolk,1/5/23
6/24/21,BioBot,Municipal,MWRA Northern,Detected,18366.36516,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/2/22,BioBot,Municipal,Amherst WWTP,Detected,505577.2093,4,copies/L,Hadley,MA,Hampshire,1/5/23
4/28/22,BioBot,Municipal,Wareham WPCF,Detected,702766.5198,4,copies/L,Wareham,MA,Plymouth,1/5/23
8/24/22,BioBot,Municipal,Hull WWTF,Detected,1432809.172,3,copies/L,Hull,MA,Plymouth,1/5/23
5/17/22,BioBot,Municipal,Haverhill WWTP,Detected,1077612.245,4,copies/L,Haverhill,MA,Essex,1/5/23
2/16/22,BioBot,Municipal,MWRA Southern,Detected,164482.0486,7,copies/L,Winthrop,MA,Suffolk,1/5/23
5/4/22,BioBot,Municipal,Upper Blackstone Clean Water,Detected,861345.5898,4,copies/L,Worcester,MA,Worcester,1/5/23
1/9/22,BioBot,Municipal,MWRA Northern,Detected,6856320.531,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/5/22,BioBot,Municipal,MWRA Northern,Detected,827220.9437,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/17/22,BioBot,Municipal,Haverhill WWTP,Detected,1888066.865,4,copies/L,Haverhill,MA,Essex,1/5/23
9/20/21,BioBot,Municipal,Upper Blackstone Clean Water,Detected,766851.3298,3,copies/L,Worcester,MA,Worcester,1/5/23
7/11/22,BioBot,Municipal,Upper Blackstone Clean Water,Detected,1894686.867,4,copies/L,Worcester,MA,Worcester,1/5/23
5/17/21,BioBot,Municipal,MWRA Southern,Detected,69475.03044,7,copies/L,Winthrop,MA,Suffolk,1/5/23
6/6/21,BioBot,Municipal,MWRA Northern,Detected,25621.81162,7,copies/L,Winthrop,MA,Suffolk,1/5/23
6/8/22,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,821132.724,4,copies/L,North Andover,MA,Essex,1/5/23
12/21/22,BioBot,Municipal,Pittsfield WWTP,Detected,1325136.049,5,copies/L,Pittsfield,MA,Berkshire,1/5/23
12/14/22,BioBot,Municipal,Hull WWTF,Detected,2261810.159,3,copies/L,Hull,MA,Plymouth,1/5/23
4/26/22,BioBot,Municipal,Brockton/ Abington,Detected,492102.525,4,copies/L,Brockton,MA,Plymouth,1/5/23
11/21/21,BioBot,Municipal,MWRA Southern,Detected,631988.7083,7,copies/L,Winthrop,MA,Suffolk,1/5/23
12/19/21,BioBot,Municipal,Haverhill WWTP,Detected,2578456.006,4,copies/L,Haverhill,MA,Essex,1/5/23
5/6/21,BioBot,Municipal,MWRA Southern,Detected,137677.111,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/21/22,BioBot,Municipal,Haverhill WWTP,Detected,944925.1369,4,copies/L,Haverhill,MA,Essex,1/5/23
6/24/22,BioBot,Municipal,Amherst WWTP,Detected,755051.3541,4,copies/L,Hadley,MA,Hampshire,1/5/23
3/1/22,BioBot,Municipal,MWRA Northern,Detected,106275.7326,7,copies/L,Winthrop,MA,Suffolk,1/5/23
8/2/22,BioBot,Municipal,Wareham WPCF,Detected,886003.2537,4,copies/L,Wareham,MA,Plymouth,1/5/23
11/15/22,BioBot,Municipal,MWRA Northern,Detected,412234.0478,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/19/22,BioBot,Municipal,Fall River WWTP,Detected,372242.8285,6,copies/L,Fall River,MA,Bristol,1/5/23
12/22/22,BioBot,Municipal,Fitchburg Public Works,Detected,1610976.262,4,copies/L,Fitchburg,MA,Worcester,1/5/23
7/6/22,BioBot,Municipal,Athol WWTP,Detected,486755.9739,3,copies/L,Athol,MA,Worcester,1/5/23
3/13/22,BioBot,Municipal,MWRA Southern,Detected,140154.2193,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/11/22,BioBot,Municipal,Brockton/ Abington,Detected,2355860.607,4,copies/L,Brockton,MA,Plymouth,1/5/23
10/4/21,BioBot,Municipal,MWRA Northern,Detected,346554.7601,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/29/21,BioBot,Municipal,MWRA Northern,Detected,398737.8619,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/17/21,BioBot,Municipal,MWRA Northern,Detected,216657.5965,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/1/21,BioBot,Municipal,MWRA Southern,Detected,31543.96741,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/26/20,BioBot,Municipal,MWRA Southern,Detected,529202.834,7,copies/L,Winthrop,MA,Suffolk,1/5/23
8/20/22,BioBot,Municipal,MWRA Northern,Detected,493913.0165,7,copies/L,Winthrop,MA,Suffolk,1/5/23
12/4/20,BioBot,Municipal,MWRA Southern,Detected,779140.645,7,copies/L,Winthrop,MA,Suffolk,1/5/23
8/24/22,BioBot,Municipal,Haverhill WWTP,Detected,1603795.981,3,copies/L,Haverhill,MA,Essex,1/5/23
6/30/22,BioBot,Municipal,Athol WWTP,Detected,878543.8025,4,copies/L,Athol,MA,Worcester,1/5/23
6/15/22,BioBot,Municipal,Fall River WWTP,Detected,195308.6389,4,copies/L,Fall River,MA,Bristol,1/5/23
1/27/22,BioBot,Municipal,SESD-Peabody Metering Station,Detected,975121.6468,3,copies/L,Salem,MA,Essex,1/5/23
7/21/22,BioBot,Municipal,Uxbridge WWTF,Detected,3916972.26,3,copies/L,Uxbridge,MA,Worcester,1/5/23
4/17/21,BioBot,Municipal,MWRA Northern,Detected,258982.872,7,copies/L,Winthrop,MA,Suffolk,1/5/23
4/17/21,BioBot,Municipal,MWRA Northern,Detected,263425.1921,7,copies/L,Winthrop,MA,Suffolk,1/5/23
12/26/21,BioBot,Municipal,MWRA Southern,Detected,5154492.943,7,copies/L,Winthrop,MA,Suffolk,1/5/23
8/29/21,BioBot,Municipal,MWRA Northern,Detected,352120.3767,7,copies/L,Winthrop,MA,Suffolk,1/5/23
12/3/21,BioBot,Municipal,MWRA Northern,Detected,1095406.391,7,copies/L,Winthrop,MA,Suffolk,1/5/23
5/7/22,BioBot,Municipal,South Hadley Div. of WPC,Detected,1035969.852,4,copies/L,Chicopee,MA,Hampden,1/5/23
3/28/22,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,221723.5604,3,copies/L,North Andover,MA,Essex,1/5/23
1/27/21,BioBot,Municipal,MWRA Northern,Detected,604124.8402,7,copies/L,Winthrop,MA,Suffolk,1/5/23
8/9/22,BioBot,Municipal,Fitchburg Public Works,Detected,2040043.942,4,copies/L,Fitchburg,MA,Worcester,1/5/23
7/5/22,BioBot,Municipal,Fall River WWTP,Detected,253134.4793,3,copies/L,Fall River,MA,Bristol,1/5/23
2/10/22,BioBot,Municipal,MWRA Southern,Detected,414342.9871,7,copies/L,Winthrop,MA,Suffolk,1/5/23
8/3/22,BioBot,Municipal,MWRA Northern,Detected,523804.5854,7,copies/L,Winthrop,MA,Suffolk,1/5/23
5/4/21,BioBot,Municipal,MWRA Southern,Detected,159269.7202,7,copies/L,Winthrop,MA,Suffolk,1/5/23
6/22/22,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,941236.2701,4,copies/L,North Andover,MA,Essex,1/5/23
6/20/21,BioBot,Municipal,MWRA Southern,Detected,21249.5603,7,copies/L,Winthrop,MA,Suffolk,1/5/23
9/13/22,BioBot,Municipal,Pittsfield WWTP,Detected,1745881.891,5,copies/L,Pittsfield,MA,Berkshire,1/5/23
12/17/20,BioBot,Municipal,MWRA Northern,Detected,1015143.207,7,copies/L,Winthrop,MA,Suffolk,1/5/23
6/1/22,BioBot,Municipal,Haverhill WWTP,Detected,1047532.919,4,copies/L,Haverhill,MA,Essex,1/5/23
1/15/21,BioBot,Municipal,MWRA Northern,Detected,1136634.854,6,copies/L,Winthrop,MA,Suffolk,1/5/23
1/15/21,BioBot,Municipal,MWRA Northern,Detected,1104519.854,6,copies/L,Winthrop,MA,Suffolk,1/5/23
6/7/22,BioBot,Municipal,Wareham WPCF,Detected,759775.7398,4,copies/L,Wareham,MA,Plymouth,1/5/23
5/14/22,BioBot,Municipal,MWRA Northern,Detected,1147539.394,7,copies/L,Winthrop,MA,Suffolk,1/5/23
6/7/20,BioBot,Municipal,MWRA Northern,Detected,43404.36582,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/14/20,BioBot,Municipal,MWRA Northern,Detected,329409.276,7,copies/L,Winthrop,MA,Suffolk,1/5/23
6/3/22,BioBot,Municipal,Pittsfield WWTP,Detected,1189672.631,4,copies/L,Pittsfield,MA,Berkshire,1/5/23
11/21/20,BioBot,Municipal,MWRA Southern,Detected,339689.8595,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/29/21,BioBot,Municipal,Provincetown Treatment Plant,Not Detected,1178913.623,7,copies/L,Provincetown,MA,Barnstable,1/5/23
9/26/22,BioBot,Municipal,Brockton/ Abington,Detected,1195017.39,3,copies/L,Brockton,MA,Plymouth,1/5/23
3/2/22,BioBot,Municipal,MWRA Southern,Detected,98581.58378,7,copies/L,Winthrop,MA,Suffolk,1/5/23
8/12/21,BioBot,Municipal,MWRA Northern,Detected,492869.3579,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/25/22,BioBot,Municipal,Fall River WWTP,Detected,581386.5235,4,copies/L,Fall River,MA,Bristol,1/5/23
3/2/22,BioBot,Municipal,Hull WWTF,Detected,136664.8729,3,copies/L,Hull,MA,Plymouth,1/5/23
1/21/21,BioBot,Municipal,MWRA Southern,Detected,911121.5817,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/16/20,BioBot,Municipal,MWRA Northern,Detected,337550.1652,7,copies/L,Winthrop,MA,Suffolk,1/5/23
5/22/21,BioBot,Municipal,MWRA Southern,Detected,74039.61178,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/28/21,BioBot,Municipal,MWRA Southern,Detected,219765.338,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/8/22,BioBot,Municipal,MWRA Northern,Detected,399312.4507,7,copies/L,Winthrop,MA,Suffolk,1/5/23
1/12/21,BioBot,Municipal,MWRA Southern,Detected,1519254.079,7,copies/L,Winthrop,MA,Suffolk,1/5/23
12/6/22,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,2301458.807,3,copies/L,North Andover,MA,Essex,1/5/23
10/6/22,BioBot,Municipal,Amherst WWTP,Detected,1469213.629,4,copies/L,Hadley,MA,Hampshire,1/5/23
9/27/22,BioBot,Municipal,Pittsfield WWTP,Detected,1112239.869,3,copies/L,Pittsfield,MA,Berkshire,1/5/23
2/1/22,BioBot,Municipal,MWRA Southern,Detected,1037586.838,7,copies/L,Winthrop,MA,Suffolk,1/5/23
8/27/21,BioBot,Municipal,Provincetown Treatment Plant,Detected,217698.5625,7,copies/L,Provincetown,MA,Barnstable,1/5/23
9/19/20,BioBot,Municipal,MWRA Northern,Detected,53314.47787,7,copies/L,Winthrop,MA,Suffolk,1/5/23
9/18/21,BioBot,Municipal,MWRA Southern,Detected,298683.8058,7,copies/L,Winthrop,MA,Suffolk,1/5/23
9/17/22,BioBot,Municipal,MWRA Northern,Detected,580196.3447,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/12/22,BioBot,Municipal,Fall River WWTP,Detected,1131580.414,3,copies/L,Fall River,MA,Bristol,1/5/23
8/10/21,BioBot,Municipal,Provincetown Treatment Plant,Detected,246738.3469,7,copies/L,Provincetown,MA,Barnstable,1/5/23
6/3/22,BioBot,Municipal,MWRA Southern,Detected,724233.092,7,copies/L,Winthrop,MA,Suffolk,1/5/23
8/13/22,BioBot,Municipal,South Hadley Div. of WPC,Detected,744129.6767,4,copies/L,Chicopee,MA,Hampden,1/5/23
6/14/22,BioBot,Municipal,MWRA Southern,Detected,667437.8558,7,copies/L,Winthrop,MA,Suffolk,1/5/23
9/6/22,BioBot,Municipal,Fall River WWTP,Detected,570228.9476,4,copies/L,Fall River,MA,Bristol,1/5/23
7/24/21,BioBot,Municipal,Provincetown Treatment Plant,Detected,1192447.662,7,copies/L,Provincetown,MA,Barnstable,1/5/23
2/23/22,BioBot,Municipal,Hull WWTF,Detected,428835.4212,3,copies/L,Hull,MA,Plymouth,1/5/23
7/27/20,BioBot,Municipal,MWRA Southern,Detected,21191.76566,7,copies/L,Winthrop,MA,Suffolk,1/5/23
8/1/22,BioBot,Municipal,MWRA Northern,Detected,547121.0851,7,copies/L,Winthrop,MA,Suffolk,1/5/23
3/14/21,BioBot,Municipal,MWRA Northern,Detected,282115.0597,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/25/22,BioBot,Municipal,MWRA Southern,Detected,677554.3157,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/4/22,BioBot,Municipal,Haverhill WWTP,Detected,1695148.674,4,copies/L,Haverhill,MA,Essex,1/5/23
12/29/22,BioBot,Municipal,MWRA Northern,Detected,1995218.717,7,copies/L,Winthrop,MA,Suffolk,1/5/23
12/30/21,BioBot,Municipal,MWRA Southern,Detected,9488940.624,7,copies/L,Winthrop,MA,Suffolk,1/5/23
3/23/22,BioBot,Municipal,MWRA Southern,Detected,134972.9813,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/21/21,BioBot,Municipal,MWRA Northern,Detected,607262.8741,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/18/20,BioBot,Municipal,MWRA Northern,Detected,30381.48571,5,copies/L,Winthrop,MA,Suffolk,1/5/23
7/18/20,BioBot,Municipal,MWRA Northern,Detected,33244.74367,5,copies/L,Winthrop,MA,Suffolk,1/5/23
7/18/20,BioBot,Municipal,MWRA Northern,Detected,31252.99592,5,copies/L,Winthrop,MA,Suffolk,1/5/23
7/18/20,BioBot,Municipal,MWRA Northern,Detected,34116.25387,5,copies/L,Winthrop,MA,Suffolk,1/5/23
8/18/22,BioBot,Municipal,Wareham WPCF,Detected,915591.3992,4,copies/L,Wareham,MA,Plymouth,1/5/23
3/28/22,BioBot,Municipal,Upper Blackstone Clean Water,Detected,211128.3344,3,copies/L,Worcester,MA,Worcester,1/5/23
6/27/22,BioBot,Municipal,Brockton/ Abington,Detected,957127.72,4,copies/L,Brockton,MA,Plymouth,1/5/23
9/15/22,BioBot,Municipal,Fitchburg Public Works,Detected,1248664.571,4,copies/L,Fitchburg,MA,Worcester,1/5/23
11/23/22,BioBot,Municipal,MWRA Northern,Detected,451267.9285,7,copies/L,Winthrop,MA,Suffolk,1/5/23
5/24/22,BioBot,Municipal,Haverhill WWTP,Detected,779852.5736,4,copies/L,Haverhill,MA,Essex,1/5/23
5/18/22,BioBot,Municipal,Hull WWTF,Detected,1694969.929,3,copies/L,Hull,MA,Plymouth,1/5/23
9/28/22,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,1819421.701,4,copies/L,North Andover,MA,Essex,1/5/23
1/14/22,BioBot,Municipal,MWRA Southern,Detected,5077305.467,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/5/22,BioBot,Municipal,Montague Clean Water Facility,Detected,1380400.44,2,copies/L,Montague,MA,Franklin,1/5/23
8/15/22,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,1375239.826,4,copies/L,North Andover,MA,Essex,1/5/23
6/9/22,BioBot,Municipal,Athol WWTP,Detected,1822183.168,4,copies/L,Athol,MA,Worcester,1/5/23
4/3/21,BioBot,Municipal,MWRA Southern,Detected,408532.2454,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/14/22,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,1790444.952,4,copies/L,North Andover,MA,Essex,1/5/23
8/26/21,BioBot,Municipal,MWRA Southern,Detected,263971.1138,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/27/21,BioBot,Municipal,MWRA Northern,Detected,354438.5122,7,copies/L,Winthrop,MA,Suffolk,1/5/23
3/22/22,BioBot,Municipal,MWRA Northern,Detected,148155.1416,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/12/22,BioBot,Municipal,Brockton/ Abington,Detected,1851411.33,4,copies/L,Brockton,MA,Plymouth,1/5/23
1/10/22,BioBot,Municipal,MWRA Northern,Detected,5731050.462,7,copies/L,Winthrop,MA,Suffolk,1/5/23
9/3/22,BioBot,Municipal,MWRA Southern,Detected,558978.2148,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/4/21,BioBot,Municipal,MWRA Northern,Detected,39969.84794,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/18/22,BioBot,Municipal,Fall River WWTP,Detected,984370.0828,3,copies/L,Fall River,MA,Bristol,1/5/23
6/24/20,BioBot,Municipal,MWRA Southern,Detected,11797.12858,7,copies/L,Winthrop,MA,Suffolk,1/5/23
8/17/22,BioBot,Municipal,MWRA Northern,Detected,549750.0225,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/10/21,BioBot,Municipal,MWRA Southern,Detected,38003.61806,7,copies/L,Winthrop,MA,Suffolk,1/5/23
8/9/22,BioBot,Municipal,Haverhill WWTP,Detected,927745.3728,4,copies/L,Haverhill,MA,Essex,1/5/23
8/18/22,BioBot,Municipal,Plymouth Headworks Influent,Detected,611077.8525,3,copies/L,Plymouth,MA,Plymouth,1/5/23
9/8/22,BioBot,Municipal,Pittsfield WWTP,Detected,1276679.952,4,copies/L,Pittsfield,MA,Berkshire,1/5/23
5/10/21,BioBot,Municipal,MWRA Southern,Detected,90367.9513,7,copies/L,Winthrop,MA,Suffolk,1/5/23
3/7/22,BioBot,Municipal,MWRA Northern,Detected,105826.9482,7,copies/L,Winthrop,MA,Suffolk,1/5/23
4/26/22,BioBot,Municipal,Pittsfield WWTP,Detected,372135.7706,5,copies/L,Pittsfield,MA,Berkshire,1/5/23
10/13/21,BioBot,Municipal,Pittsfield WWTP,Detected,231219.6174,3,copies/L,Pittsfield,MA,Berkshire,1/5/23
12/7/22,BioBot,Municipal,Athol WWTP,Detected,1104326.874,4,copies/L,Athol,MA,Worcester,1/5/23
