Sample collection date,Tester,Site type,Name of Sampling Location,SARS-CoV-2 Detected,7 day average of SARS-CoV-2 concentration,Number of samples in the last 7 days,Units (measuring concentration),City of sampling location,State of sampling location,County of sampling location,Date data last updated
12/9/22,BioBot,Municipal,MWRA Southern,Detected,1069908.464,7,copies/L,Winthrop,MA,Suffolk,1/5/23
12/29/22,BioBot,Municipal,South Hadley Div. of WPC,Detected,2196176.637,3,copies/L,Chicopee,MA,Hampden,1/5/23
12/29/21,BioBot,Municipal,MWRA Southern,Detected,8482431.114,7,copies/L,Winthrop,MA,Suffolk,1/5/23
8/6/22,BioBot,Municipal,MWRA Southern,Detected,630633.8208,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/8/21,BioBot,Municipal,Wareham WPCF,Detected,92542.13868,2,copies/L,Wareham,MA,Plymouth,1/5/23
2/26/21,BioBot,Municipal,MWRA Northern,Detected,246862.8016,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/26/22,BioBot,Municipal,Brockton/ Abington,Detected,1524133.518,4,copies/L,Brockton,MA,Plymouth,1/5/23
10/11/22,BioBot,Municipal,Haverhill WWTP,Detected,1580089.34,4,copies/L,Haverhill,MA,Essex,1/5/23
11/16/22,BioBot,Municipal,MWRA Northern,Detected,401079.86,7,copies/L,Winthrop,MA,Suffolk,1/5/23
6/15/22,BioBot,Municipal,MWRA Northern,Detected,653082.3958,7,copies/L,Winthrop,MA,Suffolk,1/5/23
3/30/21,BioBot,Municipal,MWRA Southern,Detected,396014.6737,7,copies/L,Winthrop,MA,Suffolk,1/5/23
6/17/22,BioBot,Municipal,MWRA Northern,Detected,779314.181,7,copies/L,Winthrop,MA,Suffolk,1/5/23
9/7/22,BioBot,Municipal,Amherst WWTP,Detected,889174.207,3,copies/L,Hadley,MA,Hampshire,1/5/23
11/21/22,BioBot,Municipal,MWRA Northern,Detected,434742.0309,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/5/22,BioBot,Municipal,Wareham WPCF,Detected,1548781.511,4,copies/L,Wareham,MA,Plymouth,1/5/23
8/4/22,BioBot,Municipal,Uxbridge WWTF,Detected,703451.8656,3,copies/L,Uxbridge,MA,Worcester,1/5/23
7/23/22,BioBot,Municipal,South Hadley Div. of WPC,Detected,984198.705,4,copies/L,Chicopee,MA,Hampden,1/5/23
10/1/22,BioBot,Municipal,South Hadley Div. of WPC,Detected,1011249.938,4,copies/L,Chicopee,MA,Hampden,1/5/23
8/28/22,BioBot,Municipal,MWRA Northern,Detected,399285.7743,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/28/22,BioBot,Municipal,Brockton/ Abington,Detected,2373563.273,3,copies/L,Brockton,MA,Plymouth,1/5/23
11/28/21,BioBot,Municipal,MWRA Northern,Detected,753823.8725,7,copies/L,Winthrop,MA,Suffolk,1/5/23
12/29/22,BioBot,Municipal,Hull WWTF,Detected,3431785.735,3,copies/L,Hull,MA,Plymouth,1/5/23
11/30/21,BioBot,Municipal,MWRA Northern,Detected,908139.2007,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/9/22,BioBot,Municipal,Pittsfield WWTP,Detected,866222.7094,5,copies/L,Pittsfield,MA,Berkshire,1/5/23
9/28/22,BioBot,Municipal,Wareham WPCF,Detected,1136363.978,3,copies/L,Wareham,MA,Plymouth,1/5/23
5/10/22,BioBot,Municipal,Pittsfield WWTP,Detected,901667.9829,4,copies/L,Pittsfield,MA,Berkshire,1/5/23
1/28/22,BioBot,Municipal,MWRA Northern,Detected,1182553.348,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/12/22,BioBot,Municipal,MWRA Northern,Detected,769935.7358,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/9/22,BioBot,Municipal,Haverhill WWTP,Detected,1009972.467,4,copies/L,Haverhill,MA,Essex,1/5/23
4/21/21,BioBot,Municipal,MWRA Northern,Detected,200091.8677,6,copies/L,Winthrop,MA,Suffolk,1/5/23
4/21/21,BioBot,Municipal,MWRA Northern,Detected,205274.5744,6,copies/L,Winthrop,MA,Suffolk,1/5/23
8/30/22,BioBot,Municipal,Fitchburg Public Works,Detected,1136620.725,4,copies/L,Fitchburg,MA,Worcester,1/5/23
12/20/22,BioBot,Municipal,Fitchburg Public Works,Detected,1691923.046,4,copies/L,Fitchburg,MA,Worcester,1/5/23
10/11/21,BioBot,Municipal,Provincetown Treatment Plant,Detected,193492.9453,7,copies/L,Provincetown,MA,Barnstable,1/5/23
1/9/21,BioBot,Municipal,MWRA Northern,Detected,951277.4549,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/12/22,BioBot,Municipal,MWRA Southern,Detected,1102783.061,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/13/22,BioBot,Municipal,Wareham WPCF,Detected,1298025.397,4,copies/L,Wareham,MA,Plymouth,1/5/23
11/16/22,BioBot,Municipal,Wareham WPCF,Detected,1022664.059,4,copies/L,Wareham,MA,Plymouth,1/5/23
11/14/21,BioBot,Municipal,MWRA Southern,Detected,612288.9066,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/7/22,BioBot,Municipal,MWRA Northern,Detected,763518.6935,7,copies/L,Winthrop,MA,Suffolk,1/5/23
4/27/22,BioBot,Municipal,Athol WWTP,Detected,1506312.442,4,copies/L,Athol,MA,Worcester,1/5/23
10/25/22,BioBot,Municipal,Brockton/ Abington,Detected,822569.0738,4,copies/L,Brockton,MA,Plymouth,1/5/23
2/25/22,BioBot,Municipal,MWRA Southern,Detected,135463.2903,7,copies/L,Winthrop,MA,Suffolk,1/5/23
8/25/22,BioBot,Municipal,Fitchburg Public Works,Detected,2405400.65,4,copies/L,Fitchburg,MA,Worcester,1/5/23
5/18/22,BioBot,Municipal,MWRA Southern,Detected,1367293.485,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/14/22,BioBot,Municipal,MWRA Northern,Detected,755472.6741,7,copies/L,Winthrop,MA,Suffolk,1/5/23
9/10/21,BioBot,Municipal,MWRA Southern,Detected,275263.4019,7,copies/L,Winthrop,MA,Suffolk,1/5/23
1/31/21,BioBot,Municipal,MWRA Northern,Detected,432437.8332,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/25/21,BioBot,Municipal,MWRA Southern,Detected,139469.9983,7,copies/L,Winthrop,MA,Suffolk,1/5/23
8/19/21,BioBot,Municipal,MWRA Southern,Detected,270189.0378,7,copies/L,Winthrop,MA,Suffolk,1/5/23
11/1/21,BioBot,Municipal,Upper Blackstone Clean Water,Detected,874830.083,3,copies/L,Worcester,MA,Worcester,1/5/23
7/14/22,BioBot,Municipal,MWRA Northern,Detected,754590.9413,7,copies/L,Winthrop,MA,Suffolk,1/5/23
1/9/21,BioBot,Municipal,MWRA Southern,Detected,1312627.682,7,copies/L,Winthrop,MA,Suffolk,1/5/23
5/19/22,BioBot,Municipal,MWRA Southern,Detected,1186786.17,7,copies/L,Winthrop,MA,Suffolk,1/5/23
6/5/20,BioBot,Municipal,MWRA Southern,Detected,72136.62824,7,copies/L,Winthrop,MA,Suffolk,1/5/23
10/11/21,BioBot,Municipal,MWRA Northern,Detected,328752.789,7,copies/L,Winthrop,MA,Suffolk,1/5/23
12/26/22,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,2813482.968,2,copies/L,North Andover,MA,Essex,1/5/23
1/18/21,BioBot,Municipal,MWRA Southern,Detected,1003600.069,6,copies/L,Winthrop,MA,Suffolk,1/5/23
1/18/21,BioBot,Municipal,MWRA Southern,Detected,973147.8198,6,copies/L,Winthrop,MA,Suffolk,1/5/23
12/30/20,BioBot,Municipal,MWRA Southern,Detected,785390.9015,6,copies/L,Winthrop,MA,Suffolk,1/5/23
12/30/20,BioBot,Municipal,MWRA Southern,Detected,726854.5641,6,copies/L,Winthrop,MA,Suffolk,1/5/23
7/21/22,BioBot,Municipal,MWRA Southern,Detected,661298.2288,7,copies/L,Winthrop,MA,Suffolk,1/5/23
9/4/21,BioBot,Municipal,Provincetown Treatment Plant,Detected,211409.7943,7,copies/L,Provincetown,MA,Barnstable,1/5/23
10/25/22,BioBot,Municipal,MWRA Southern,Detected,667749.6208,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/29/22,BioBot,Municipal,Pittsfield WWTP,Detected,804643.5608,4,copies/L,Pittsfield,MA,Berkshire,1/5/23
12/21/21,BioBot,Municipal,South Hadley Div. of WPC,Detected,666928.6652,4,copies/L,Chicopee,MA,Hampden,1/5/23
12/20/21,BioBot,Municipal,Greater Lawrence Sanitary District,Detected,3468456.184,3,copies/L,North Andover,MA,Essex,1/5/23
9/26/22,BioBot,Municipal,Haverhill WWTP,Detected,1866171.261,2,copies/L,Haverhill,MA,Essex,1/5/23
4/9/22,BioBot,Municipal,MWRA Northern,Detected,421125.1719,7,copies/L,Winthrop,MA,Suffolk,1/5/23
8/7/20,BioBot,Municipal,MWRA Northern,Detected,63501.87642,4,copies/L,Winthrop,MA,Suffolk,1/5/23
8/7/20,BioBot,Municipal,MWRA Northern,Detected,46930.95777,4,copies/L,Winthrop,MA,Suffolk,1/5/23
8/7/20,BioBot,Municipal,MWRA Northern,Detected,62173.41919,4,copies/L,Winthrop,MA,Suffolk,1/5/23
8/7/20,BioBot,Municipal,MWRA Northern,Detected,45602.50054,4,copies/L,Winthrop,MA,Suffolk,1/5/23
12/26/21,BioBot,Municipal,MWRA Northern,Detected,3871160.973,7,copies/L,Winthrop,MA,Suffolk,1/5/23
7/27/22,BioBot,Municipal,Amherst WWTP,Detected,1205362.744,4,copies/L,Hadley,MA,Hampshire,1/5/23
1/3/22,BioBot,Municipal,Upper Blackstone Clean Water,Detected,10421266.35,2,copies/L,Worcester,MA,Worcester,1/5/23
5/2/22,BioBot,Municipal,Haverhill WWTP,Detected,485244.7716,4,copies/L,Haverhill,MA,Essex,1/5/23
9/24/22,BioBot,Municipal,MWRA Northern,Detected,737256.667,7,copies/L,Winthrop,MA,Suffolk,1/5/23
4/13/22,BioBot,Municipal,Plymouth Headworks Influent,Detected,330732.3903,4,copies/L,Plymouth,MA,Plymouth,1/5/23
9/2/22,BioBot,Municipal,Pittsfield WWTP,Detected,821912.7504,4,copies/L,Pittsfield,MA,Berkshire,1/5/23
